,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
60,2024-06-24/2024-06-30,ETH/USDT,9.284919986976053e-05,0.004496759959950347,2024-06-24,2024-06-30 23:59:59.999999999,calm_market,ETH,USDT
61,2024-07-01/2024-07-07,ETH/USDT,-0.0012073145672272104,0.007444657952990389,2024-07-01,2024-07-07 23:59:59.999999999,bear_market,ETH,USDT
62,2024-07-08/2024-07-14,ETH/USDT,0.0004138901436610932,0.006153581994034539,2024-07-08,2024-07-14 23:59:59.999999999,volatile_market,ETH,USDT
63,2024-07-15/2024-07-21,ETH/USDT,0.00023447827279204683,0.004858503188784696,2024-07-15,2024-07-21 23:59:59.999999999,calm_market,ETH,USDT
64,2024-07-22/2024-07-28,ETH/USDT,-0.0005600161728347991,0.005872564762420916,2024-07-22,2024-07-28 23:59:59.999999999,bear_market,ETH,USDT
65,2024-07-29/2024-08-04,ETH/USDT,-0.0011450322334983546,0.007141114107225489,2024-07-29,2024-08-04 23:59:59.999999999,bear_market,ETH,USDT
66,2024-08-05/2024-08-11,ETH/USDT,0.0007052199980254306,0.013573652451876634,2024-08-05,2024-08-11 23:59:59.999999999,bull_market,ETH,USDT
67,2024-08-12/2024-08-18,ETH/USDT,-0.00010190586751331557,0.007117316177558279,2024-08-12,2024-08-18 23:59:59.999999999,volatile_market,ETH,USDT
68,2024-08-19/2024-08-25,ETH/USDT,0.00044450677677601824,0.004943631764150008,2024-08-19,2024-08-25 23:59:59.999999999,bull_market,ETH,USDT
69,2024-08-26/2024-09-01,ETH/USDT,-0.0005304281244213697,0.007219153179566991,2024-08-26,2024-09-01 23:59:59.999999999,bear_market,ETH,USDT
70,2024-09-02/2024-09-08,ETH/USDT,-0.0007189724805494313,0.006601070561466097,2024-09-02,2024-09-08 23:59:59.999999999,bear_market,ETH,USDT
71,2024-09-09/2024-09-15,ETH/USDT,0.000253082849163049,0.005028865092928166,2024-09-09,2024-09-15 23:59:59.999999999,calm_market,ETH,USDT
72,2024-09-16/2024-09-22,ETH/USDT,0.0009498880357619109,0.005636871598828241,2024-09-16,2024-09-22 23:59:59.999999999,bull_market,ETH,USDT
73,2024-09-23/2024-09-29,ETH/USDT,9.097049663263061e-05,0.004197598042835909,2024-09-23,2024-09-29 23:59:59.999999999,calm_market,ETH,USDT
74,2024-09-30/2024-10-06,ETH/USDT,-0.0005609732166735303,0.005752285913397387,2024-09-30,2024-10-06 23:59:59.999999999,bear_market,ETH,USDT
75,2024-10-07/2024-10-13,ETH/USDT,6.597034953729814e-06,0.005014008204926294,2024-10-07,2024-10-13 23:59:59.999999999,calm_market,ETH,USDT
76,2024-10-14/2024-10-20,ETH/USDT,0.00024943342470089026,0.006308980257530404,2024-10-14,2024-10-20 23:59:59.999999999,volatile_market,ETH,USDT
77,2024-10-21/2024-10-27,ETH/USDT,-0.0005924132681272545,0.004475707985444199,2024-10-21,2024-10-27 23:59:59.999999999,bear_market,ETH,USDT
78,2024-10-28/2024-11-03,ETH/USDT,-0.00034114484686843945,0.005497219612286823,2024-10-28,2024-11-03 23:59:59.999999999,bear_market,ETH,USDT
79,2024-11-04/2024-11-10,ETH/USDT,0.001969438814610288,0.007780410063807555,2024-11-04,2024-11-10 23:59:59.999999999,bull_market,ETH,USDT
80,2024-11-11/2024-11-17,ETH/USDT,-0.0003792829923988317,0.009060662336006288,2024-11-11,2024-11-17 23:59:59.999999999,bear_market,ETH,USDT
81,2024-11-18/2024-11-24,ETH/USDT,0.0006808403823948472,0.00744678270315495,2024-11-18,2024-11-24 23:59:59.999999999,bull_market,ETH,USDT
82,2024-11-25/2024-12-01,ETH/USDT,0.0006494015510415175,0.006548899491623402,2024-11-25,2024-12-01 23:59:59.999999999,bull_market,ETH,USDT
83,2024-12-02/2024-12-08,ETH/USDT,0.0007687332115413388,0.006854322196516417,2024-12-02,2024-12-08 23:59:59.999999999,bull_market,ETH,USDT
84,2024-12-09/2024-12-15,ETH/USDT,0.00025554511761703675,0.0076149660385054704,2024-12-09,2024-12-15 23:59:59.999999999,volatile_market,ETH,USDT
85,2024-12-16/2024-12-22,ETH/USDT,-0.0014235256696355694,0.010094530015755138,2024-12-16,2024-12-22 23:59:59.999999999,bear_market,ETH,USDT
86,2024-12-23/2024-12-29,ETH/USDT,-5.102095567476356e-05,0.0063014271943080055,2024-12-23,2024-12-29 23:59:59.999999999,volatile_market,ETH,USDT
87,2024-12-30/2025-01-05,ETH/USDT,0.0005912031030085073,0.004908225300560049,2024-12-30,2025-01-05 23:59:59.999999999,bull_market,ETH,USDT
88,2025-01-06/2025-01-12,ETH/USDT,-0.0008048590509032743,0.006551722282791848,2025-01-06,2025-01-12 23:59:59.999999999,bear_market,ETH,USDT
89,2025-01-13/2025-01-19,ETH/USDT,0.00039672213465041757,0.009527172588372948,2025-01-13,2025-01-19 23:59:59.999999999,volatile_market,ETH,USDT
90,2025-01-20/2025-01-26,ETH/USDT,5.887362076245474e-05,0.0074777659787737035,2025-01-20,2025-01-26 23:59:59.999999999,volatile_market,ETH,USDT
91,2025-01-27/2025-02-02,ETH/USDT,3.482290392246993e-05,0.007357509827480221,2025-01-27,2025-02-02 23:59:59.999999999,volatile_market,ETH,USDT
92,2025-02-03/2025-02-09,ETH/USDT,-0.00017890570606576828,0.015040973098228062,2025-02-03,2025-02-09 23:59:59.999999999,volatile_market,ETH,USDT
93,2025-02-10/2025-02-16,ETH/USDT,0.00015771370029887566,0.006128108489684592,2025-02-10,2025-02-16 23:59:59.999999999,volatile_market,ETH,USDT
94,2025-02-17/2025-02-23,ETH/USDT,0.00019056832069014665,0.006704028807926407,2025-02-17,2025-02-23 23:59:59.999999999,volatile_market,ETH,USDT
