,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
65,2024-07-29/2024-08-04,ADA/BTC,-0.0002012469633046052,0.005092259385945178,2024-07-29,2024-08-04 23:59:59.999999999,calm_market,ADA,BTC
66,2024-08-05/2024-08-11,ADA/BTC,-0.00020406804047677605,0.0064664142820542395,2024-08-05,2024-08-11 23:59:59.999999999,volatile_market,ADA,BTC
67,2024-08-12/2024-08-18,ADA/BTC,-5.103726361721681e-05,0.004860383231287471,2024-08-12,2024-08-18 23:59:59.999999999,calm_market,ADA,BTC
68,2024-08-19/2024-08-25,ADA/BTC,0.0005104713997724908,0.005584466284972764,2024-08-19,2024-08-25 23:59:59.999999999,bull_market,ADA,BTC
69,2024-08-26/2024-09-01,ADA/BTC,-4.621771013632126e-05,0.004449178889266951,2024-08-26,2024-09-01 23:59:59.999999999,calm_market,ADA,BTC
70,2024-09-02/2024-09-08,ADA/BTC,0.0005737859145127923,0.004993768493136601,2024-09-02,2024-09-08 23:59:59.999999999,bull_market,ADA,BTC
71,2024-09-09/2024-09-15,ADA/BTC,-0.00027106439050322964,0.004154395833587411,2024-09-09,2024-09-15 23:59:59.999999999,calm_market,ADA,BTC
72,2024-09-16/2024-09-22,ADA/BTC,-6.779592252696667e-05,0.003689154851102777,2024-09-16,2024-09-22 23:59:59.999999999,calm_market,ADA,BTC
73,2024-09-23/2024-09-29,ADA/BTC,0.0004977079786235067,0.004242889605316459,2024-09-23,2024-09-29 23:59:59.999999999,bull_market,ADA,BTC
74,2024-09-30/2024-10-06,ADA/BTC,-0.0004203725448484687,0.0047491937500102836,2024-09-30,2024-10-06 23:59:59.999999999,bear_market,ADA,BTC
75,2024-10-07/2024-10-13,ADA/BTC,-2.1114793406078726e-05,0.003294334633811471,2024-10-07,2024-10-13 23:59:59.999999999,calm_market,ADA,BTC
76,2024-10-14/2024-10-20,ADA/BTC,-0.00046309392901049297,0.004512055209963031,2024-10-14,2024-10-20 23:59:59.999999999,bear_market,ADA,BTC
77,2024-10-21/2024-10-27,ADA/BTC,-0.0006432782354477911,0.004997974451158061,2024-10-21,2024-10-27 23:59:59.999999999,bear_market,ADA,BTC
78,2024-10-28/2024-11-03,ADA/BTC,0.00014639118046811636,0.00461758587002762,2024-10-28,2024-11-03 23:59:59.999999999,calm_market,ADA,BTC
79,2024-11-04/2024-11-10,ADA/BTC,0.0026528835972634865,0.013831806641549059,2024-11-04,2024-11-10 23:59:59.999999999,bull_market,ADA,BTC
80,2024-11-11/2024-11-17,ADA/BTC,0.0012763136345587682,0.0165098494200084,2024-11-11,2024-11-17 23:59:59.999999999,bull_market,ADA,BTC
81,2024-11-18/2024-11-24,ADA/BTC,0.002120435527815416,0.01642628601104792,2024-11-18,2024-11-24 23:59:59.999999999,bull_market,ADA,BTC
82,2024-11-25/2024-12-01,ADA/BTC,0.0006210471545391911,0.011314547239531625,2024-11-25,2024-12-01 23:59:59.999999999,bull_market,ADA,BTC
83,2024-12-02/2024-12-08,ADA/BTC,-0.0002524504188851537,0.013502822845631673,2024-12-02,2024-12-08 23:59:59.999999999,volatile_market,ADA,BTC
84,2024-12-09/2024-12-15,ADA/BTC,-0.00017942995025056188,0.01275107459125254,2024-12-09,2024-12-15 23:59:59.999999999,volatile_market,ADA,BTC
85,2024-12-16/2024-12-22,ADA/BTC,-0.0007230671821799289,0.011458574985258908,2024-12-16,2024-12-22 23:59:59.999999999,bear_market,ADA,BTC
86,2024-12-23/2024-12-29,ADA/BTC,-0.00015829434615386736,0.00740269666320392,2024-12-23,2024-12-29 23:59:59.999999999,volatile_market,ADA,BTC
87,2024-12-30/2025-01-05,ADA/BTC,0.0015612293719418802,0.00852541081799978,2024-12-30,2025-01-05 23:59:59.999999999,bull_market,ADA,BTC
88,2025-01-06/2025-01-12,ADA/BTC,-0.0003995029889737084,0.00943981202412751,2025-01-06,2025-01-12 23:59:59.999999999,bear_market,ADA,BTC
89,2025-01-13/2025-01-19,ADA/BTC,0.00018962851193291206,0.010395334637568447,2025-01-13,2025-01-19 23:59:59.999999999,volatile_market,ADA,BTC
90,2025-01-20/2025-01-26,ADA/BTC,-0.0003066668054558497,0.006696494386198178,2025-01-20,2025-01-26 23:59:59.999999999,volatile_market,ADA,BTC
91,2025-01-27/2025-02-02,ADA/BTC,-0.0002377993891886298,0.006866768722781318,2025-01-27,2025-02-02 23:59:59.999999999,volatile_market,ADA,BTC
92,2025-02-03/2025-02-09,ADA/BTC,-0.00039019413209863017,0.017976252504702202,2025-02-03,2025-02-09 23:59:59.999999999,bear_market,ADA,BTC
93,2025-02-10/2025-02-16,ADA/BTC,0.0005549472098999216,0.008737073420306675,2025-02-10,2025-02-16 23:59:59.999999999,bull_market,ADA,BTC
94,2025-02-17/2025-02-23,ADA/BTC,-0.00017402262421995307,0.007854129685878076,2025-02-17,2025-02-23 23:59:59.999999999,volatile_market,ADA,BTC
95,2025-02-24/2025-03-02,ADA/BTC,0.0006488432710572911,0.024810173291950167,2025-02-24,2025-03-02 23:59:59.999999999,bull_market,ADA,BTC
96,2025-03-03/2025-03-09,ADA/BTC,-0.0010185613364756185,0.015437894912251487,2025-03-03,2025-03-09 23:59:59.999999999,bear_market,ADA,BTC
97,2025-03-10/2025-03-16,ADA/BTC,-0.00016032382807678022,0.006972161298255224,2025-03-10,2025-03-16 23:59:59.999999999,volatile_market,ADA,BTC
98,2025-03-17/2025-03-23,ADA/BTC,-0.0001822039629684218,0.0043562175803195605,2025-03-17,2025-03-23 23:59:59.999999999,calm_market,ADA,BTC
99,2025-03-24/2025-03-30,ADA/BTC,-0.00027884751205902656,0.004909674653288441,2025-03-24,2025-03-30 23:59:59.999999999,calm_market,ADA,BTC
100,2025-03-31/2025-04-06,ADA/BTC,-0.0002745871030451446,0.00603404330940748,2025-03-31,2025-04-06 23:59:59.999999999,volatile_market,ADA,BTC
101,2025-04-07/2025-04-13,ADA/BTC,0.0003757950242879129,0.008161349376324957,2025-04-07,2025-04-13 23:59:59.999999999,bull_market,ADA,BTC
102,2025-04-14/2025-04-20,ADA/BTC,-0.00015496448782463732,0.004041159765711392,2025-04-14,2025-04-20 23:59:59.999999999,calm_market,ADA,BTC
103,2025-04-21/2025-04-27,ADA/BTC,0.00029321081230553037,0.005399301489716399,2025-04-21,2025-04-27 23:59:59.999999999,volatile_market,ADA,BTC
104,2025-04-28/2025-05-04,ADA/BTC,-0.00021849867775026096,0.005513662438967873,2025-04-28,2025-05-04 23:59:59.999999999,volatile_market,ADA,BTC
105,2025-05-05/2025-05-11,ADA/BTC,-0.0005647171519246872,0.004658582865655085,2025-05-05,2025-05-11 23:59:59.999999999,bear_market,ADA,BTC
106,2024-05-06/2024-05-12,ADA/ETH,0.00023067957571141535,0.00421177050989331,2024-05-06,2024-05-12 23:59:59.999999999,calm_market,ADA,ETH
107,2024-05-13/2024-05-19,ADA/ETH,0.0002973930600019805,0.004576301473594554,2024-05-13,2024-05-19 23:59:59.999999999,bull_market,ADA,ETH
108,2024-05-20/2024-05-26,ADA/ETH,-0.0012494543975839615,0.0065845496385644525,2024-05-20,2024-05-26 23:59:59.999999999,bear_market,ADA,ETH
109,2024-05-27/2024-06-02,ADA/ETH,-3.896973372258283e-05,0.0031450001539662462,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,ADA,ETH
110,2024-06-03/2024-06-09,ADA/ETH,-2.8301678864132347e-05,0.0048677424602306864,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,ADA,ETH
111,2024-06-10/2024-06-16,ADA/ETH,-0.0003032652035761074,0.003472250085481234,2024-06-10,2024-06-16 23:59:59.999999999,calm_market,ADA,ETH
112,2024-06-17/2024-06-23,ADA/ETH,-0.00019794709924674832,0.0059738279809728725,2024-06-17,2024-06-23 23:59:59.999999999,volatile_market,ADA,ETH
113,2024-06-24/2024-06-30,ADA/ETH,4.525320613404373e-05,0.005253749178578665,2024-06-24,2024-06-30 23:59:59.999999999,volatile_market,ADA,ETH
114,2024-07-01/2024-07-07,ADA/ETH,8.269060409532428e-05,0.007630933236625358,2024-07-01,2024-07-07 23:59:59.999999999,volatile_market,ADA,ETH
115,2024-07-08/2024-07-14,ADA/ETH,0.0008694539109096006,0.006091776261289527,2024-07-08,2024-07-14 23:59:59.999999999,bull_market,ADA,ETH
116,2024-07-15/2024-07-21,ADA/ETH,-0.00035556765072934676,0.005718192739374237,2024-07-15,2024-07-21 23:59:59.999999999,bear_market,ADA,ETH
117,2024-07-22/2024-07-28,ADA/ETH,0.0003203377515187971,0.0045349838281252206,2024-07-22,2024-07-28 23:59:59.999999999,bull_market,ADA,ETH
118,2024-07-29/2024-08-04,ADA/ETH,4.1606037253689155e-05,0.005233374034187004,2024-07-29,2024-08-04 23:59:59.999999999,volatile_market,ADA,ETH
119,2024-08-05/2024-08-11,ADA/ETH,-1.1540463811250716e-05,0.006402162517456643,2024-08-05,2024-08-11 23:59:59.999999999,volatile_market,ADA,ETH
120,2024-08-12/2024-08-18,ADA/ETH,3.641843963072184e-05,0.004944194023298751,2024-08-12,2024-08-18 23:59:59.999999999,calm_market,ADA,ETH
121,2024-08-19/2024-08-25,ADA/ETH,0.0006942723365970504,0.005280016645674967,2024-08-19,2024-08-25 23:59:59.999999999,bull_market,ADA,ETH
