random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
366,26.24,19.49,17.59,18.01,26.24,19.49,17.59,18.05,31.69,31.69
367,26.35,21.35,16.95,18.6,26.35,21.35,16.95,18.6,32.02,32.02
368,27.56,22.35,16.49,18.49,27.56,22.35,16.49,18.49,31.82,31.82
369,25.86,20.68,16.07,18.44,25.86,20.68,16.07,18.44,32.13,32.13
37,24.23,19.49,17.98,18.65,24.23,19.49,17.98,18.65,32.17,32.17
370,25.32,18.62,18.5,18.12,25.32,18.62,18.5,18.14,31.82,31.82
371,25.91,19.78,19.88,18.15,25.91,19.78,19.88,18.16,31.6,31.6
372,26.91,21.34,22.49,18.51,26.91,21.34,22.49,18.51,32.14,32.14
373,24.51,22.08,16.1,18.19,24.51,22.08,16.1,18.22,31.65,31.65
374,26.21,22.53,16.45,18.6,26.21,22.53,16.45,18.63,32.22,32.22
375,26.1,21.17,16.96,18.6,26.1,21.17,16.96,18.61,32.17,32.17
376,28.65,20.11,18.9,18.49,28.65,20.11,18.9,18.49,31.99,31.99
377,27.63,23.9,14.6,18.49,27.63,23.9,14.6,18.49,31.88,31.88
378,25.2,21.09,17.43,18.71,25.2,21.09,17.43,18.72,32.47,32.47
379,25.49,22.6,15.72,18.45,25.49,22.6,15.72,18.45,32.15,32.15
38,26.96,23.01,16.19,18.67,26.96,23.01,16.19,18.68,32.18,32.18
380,25.89,22.4,16.21,18.43,25.89,22.4,16.21,18.43,31.89,31.89
381,26.11,20.99,16.93,18.49,26.11,20.99,16.93,18.49,31.91,31.91
382,28.26,23.66,16.15,18.76,28.26,23.66,16.15,18.76,32.08,32.08
383,27.06,21.52,16.91,18.59,27.06,21.52,16.91,18.62,32.24,32.24
384,25.34,21.6,16.93,18.59,25.34,21.6,16.93,18.59,32.03,32.03
385,27.6,21.83,17.44,18.41,27.6,21.83,17.44,18.41,31.93,31.93
386,25.49,20.33,17.34,18.35,25.49,20.33,17.34,18.36,31.67,31.67
387,25.53,19.1,16.43,18.16,25.53,19.1,16.43,18.21,31.99,31.99
388,25.09,19.7,16.69,18.09,25.09,19.7,16.69,18.1,31.59,31.59
389,25.88,21.21,16.74,18.34,25.88,21.21,16.74,18.35,32.08,32.08
