random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
24,28.75,20.78,21.33,20.33,28.75,20.78,21.33,20.33,33.04,33.04
240,26.34,23.55,16.53,20.2,26.34,23.55,16.53,20.2,32.39,32.39
241,28.3,22.5,18.86,20.71,28.3,22.5,18.86,20.71,33.05,33.05
242,28.95,20.05,20.8,20.43,28.95,20.05,20.8,20.43,32.8,32.8
243,27.5,20.87,21.42,20.5,27.5,20.87,21.42,20.5,32.87,32.87
244,28.06,23.26,17.77,20.36,28.06,23.26,17.77,20.36,32.85,32.85
245,28.74,21.85,21.73,20.46,28.74,21.85,21.73,20.46,33.21,33.21
246,27.12,21.8,21.68,20.43,27.12,21.8,21.68,20.43,32.54,32.54
247,28.38,22.45,21.72,20.77,28.38,22.45,21.72,20.77,33.27,33.27
248,28.75,25.4,15.1,20.09,28.75,25.4,15.1,20.09,33.03,33.03
249,27.37,23.03,17.08,19.94,27.37,23.03,17.08,19.94,32.29,32.29
25,27.63,24.9,14.94,20.11,27.63,24.9,14.94,20.11,32.7,32.7
250,29.65,26.23,14.35,20.11,29.65,26.23,14.35,20.11,32.8,32.8
251,27.94,22.74,22.48,20.0,27.94,22.74,22.48,20.0,32.39,32.39
252,25.79,20.98,20.66,20.95,25.79,20.98,20.66,20.96,32.93,32.93
253,31.89,24.27,16.61,20.42,31.89,24.27,16.61,20.42,32.91,32.91
254,29.77,27.41,12.01,19.51,29.77,27.41,12.01,19.51,32.29,32.29
255,28.34,21.32,21.69,20.47,28.34,21.32,21.69,20.47,33.08,33.08
256,26.52,20.16,21.68,20.6,26.52,20.16,21.68,20.6,32.88,32.88
257,26.84,21.94,18.54,20.39,26.84,21.94,18.54,20.39,32.9,32.9
258,26.69,23.46,17.04,20.18,26.69,23.46,17.04,20.18,32.67,32.67
259,29.22,24.7,16.43,20.41,29.22,24.7,16.43,20.41,32.58,32.58
26,27.7,21.14,19.67,20.39,27.7,21.14,19.67,20.39,32.75,32.75
260,27.55,22.33,18.1,19.92,27.55,22.33,18.1,19.92,32.57,32.57
261,26.89,21.93,21.97,20.42,26.89,21.93,21.97,20.42,32.52,32.52
262,25.61,23.67,17.17,20.15,25.61,23.67,17.17,20.15,32.63,32.63
263,28.51,22.84,22.52,20.4,28.51,22.84,22.52,20.4,33.37,33.37
264,27.56,24.53,15.1,20.03,27.56,24.53,15.1,20.03,32.42,32.42
265,26.61,20.13,20.33,20.01,26.61,20.13,20.33,20.01,32.35,32.35
266,28.58,19.98,20.48,20.45,28.58,19.98,20.48,20.45,33.07,33.07
267,25.71,22.39,19.17,20.59,25.71,22.39,19.17,20.59,32.75,32.75
268,29.02,23.58,17.92,20.27,29.02,23.58,17.92,20.27,33.13,33.13
269,27.38,23.6,17.4,20.23,27.38,23.6,17.4,20.23,32.56,32.56
27,28.45,23.23,22.77,20.34,28.45,23.23,22.77,20.34,32.7,32.7
270,28.42,22.37,21.14,20.4,28.42,22.37,21.14,20.4,33.17,33.17
271,28.17,25.44,15.37,20.23,28.17,25.44,15.37,20.23,32.41,32.41
272,27.42,22.99,21.68,20.65,27.42,22.99,21.68,20.65,32.86,32.86
273,28.71,21.83,18.58,20.2,28.71,21.83,18.58,20.2,32.73,32.73
274,28.53,22.95,18.29,20.52,28.53,22.95,18.29,20.52,32.85,32.85
275,26.2,22.5,21.81,20.46,26.2,22.5,21.81,20.46,32.69,32.69
276,27.99,23.4,17.46,20.41,27.99,23.4,17.46,20.41,32.67,32.67
277,26.64,20.19,21.38,20.76,26.64,20.19,21.38,20.76,33.01,33.01
278,26.05,20.48,21.1,20.72,26.05,20.48,21.1,20.72,32.8,32.8
279,27.72,24.97,22.63,20.01,27.72,24.97,22.63,20.01,32.35,32.35
28,27.84,25.6,14.82,20.34,27.84,25.6,14.82,20.34,32.7,32.7
280,25.16,20.01,20.81,20.31,25.16,20.01,20.81,20.31,32.67,32.67
281,30.83,26.82,23.64,20.02,30.83,26.82,23.64,20.02,32.68,32.68
282,28.6,20.16,19.81,20.22,28.6,20.16,19.81,20.22,32.71,32.71
283,27.34,22.53,18.23,20.51,27.34,22.53,18.23,20.51,32.98,32.98
284,29.21,24.98,15.53,20.14,29.21,24.98,15.53,20.14,32.65,32.65
285,26.48,20.0,20.11,20.35,26.48,20.0,20.11,20.35,32.93,32.93
286,28.86,23.65,17.57,20.2,28.86,23.65,17.57,20.2,32.64,32.64
287,26.7,21.5,19.46,20.42,26.7,21.5,19.46,20.42,32.89,32.89
288,28.5,23.04,22.24,20.12,28.5,23.04,22.24,20.12,32.59,32.59
289,27.75,23.82,23.07,20.0,27.75,23.82,23.07,20.0,32.6,32.6
